"filename", "language", "C++", "CMake", "XML", "CMakeCache", "YAML", "JSON", "Makefile", "Python", "Markdown", "Batch", "comment", "blank", "total"
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\CMakeLists.txt", "CMake", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 84
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\cache-v2-637b35a2097538f129f2.json", "JSON", 0, 0, 0, 0, 0, 2439, 0, 0, 0, 0, 0, 1, 2440
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\cmakeFiles-v1-8e71e2e526eb6d6163a8.json", "JSON", 0, 0, 0, 0, 0, 556, 0, 0, 0, 0, 0, 1, 557
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\codemodel-v2-cdc613d51300f9bcf8ae.json", "JSON", 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 1, 265
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\directory-.-MinSizeRel-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\directory-.-RelWithDebInfo-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\directory-.-Release-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\index-2023-09-26T16-15-31-0551.json", "JSON", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 1, 134
